time,bpm
2022-04-23 16:15:32.765641+00:00,76
2022-04-23 16:15:59.585981+00:00,77
2022-04-23 16:16:18.620507+00:00,58
2022-04-23 16:16:48.682961+00:00,55
2022-04-23 16:17:48.709750+00:00,71
2022-04-23 16:18:17.465088+00:00,49
2022-04-23 16:18:48.835354+00:00,55
2022-04-23 16:19:16.275207+00:00,58
2022-04-23 16:19:43.733059+00:00,55
2022-04-23 16:20:32.733150+00:00,52
2022-04-23 16:21:01.450931+00:00,55
2022-04-23 16:22:00.847118+00:00,53
2022-04-23 16:22:18.533484+00:00,55
2022-04-23 16:23:16.671070+00:00,64
2022-04-23 16:23:46.694968+00:00,55
2022-04-23 16:24:16.749669+00:00,76
2022-04-23 16:25:04.495736+00:00,48
2022-04-23 16:25:34.553482+00:00,64
2022-04-23 16:26:07.807268+00:00,76
2022-04-23 16:26:26.751423+00:00,56
2022-04-23 16:26:56.770605+00:00,76
2022-04-23 16:27:59.635805+00:00,57
2022-04-23 16:28:18.579857+00:00,49
2022-04-23 16:28:46.652251+00:00,54
2022-04-23 16:29:14.793645+00:00,48
2022-04-23 16:29:44.849713+00:00,49
2022-04-23 16:30:12.252434+00:00,54
2022-04-23 16:30:31.198010+00:00,55
2022-04-23 16:30:58.690157+00:00,46
2022-04-23 16:31:28.754103+00:00,64
2022-04-23 16:31:58.775139+00:00,46
2022-04-23 16:32:19.688846+00:00,48
2022-04-23 16:32:48.400242+00:00,49
2022-04-23 16:33:15.852347+00:00,61
2022-04-23 16:33:48.528200+00:00,95
2022-04-23 16:34:18.542389+00:00,55
2022-04-23 16:34:38.794045+00:00,48
2022-04-23 16:35:08.803164+00:00,71
2022-04-23 16:35:37.559716+00:00,55
2022-04-23 16:36:27.871467+00:00,48
2022-04-23 16:36:56.582702+00:00,54
2022-04-23 16:37:25.287167+00:00,55
2022-04-23 16:37:52.697539+00:00,48
2022-04-23 16:38:50.799209+00:00,52
2022-04-23 16:39:19.503672+00:00,48
2022-04-23 16:39:49.657576+00:00,55
2022-04-23 16:40:17.730146+00:00,52
2022-04-23 16:40:47.787261+00:00,49
2022-04-23 16:41:17.855473+00:00,48
2022-04-23 16:41:48.495646+00:00,64
2022-04-23 16:42:19.816792+00:00,55
2022-04-23 16:42:37.462683+00:00,61
2022-04-23 16:43:06.801011+00:00,54
2022-04-23 16:43:35.554794+00:00,53
2022-04-23 16:44:05.615504+00:00,55
2022-04-23 16:44:28.522014+00:00,76
2022-04-23 16:45:00.470600+00:00,55
2022-04-23 16:45:30.487720+00:00,61
2022-04-23 16:45:59.916860+00:00,67
2022-04-23 16:46:19.535240+00:00,48
2022-04-23 16:46:49.549608+00:00,55
2022-04-23 16:47:47.645141+00:00,57
2022-04-23 16:48:20.269945+00:00,76
2022-04-23 16:49:11.345473+00:00,49
2022-04-23 16:49:38.798714+00:00,53
2022-04-23 16:50:08.867113+00:00,48
2022-04-23 16:50:26.542530+00:00,52
2022-04-23 16:50:57.185839+00:00,76
2022-04-23 16:51:56.721185+00:00,50
2022-04-23 16:52:21.651426+00:00,76
2022-04-23 16:53:21.684696+00:00,52
2022-04-23 16:53:53.632950+00:00,55
2022-04-23 16:54:20.411328+00:00,76
2022-04-23 16:54:53.671424+00:00,95
2022-04-23 16:55:26.298817+00:00,76
2022-04-23 16:56:21.821161+00:00,75
2022-04-23 16:56:51.840239+00:00,76
2022-04-23 16:57:24.463337+00:00,71
2022-04-23 16:57:57.709444+00:00,76
2022-04-23 16:58:49.288266+00:00,79
2022-04-23 16:59:20.605980+00:00,95
